certification,category id,category,subcategory id,subcategory,max score,version
Cities and Communities: Existing Communities,IP,Integrative Process,IPc1,Integrative Planning and Leadership,1,v4.1
Cities and Communities: Existing Communities,IP,Integrative Process,IPc2,Green Building Policy and Incentives,4,v4.1
Cities and Communities: Existing Communities,NSE,Natural Systems & Ecology,NSEp1,Ecosystem Assessment (Prerequisite),0,v4.1
Cities and Communities: Existing Communities,NSE,Natural Systems & Ecology,NSEc1,Green Spaces,2,v4.1
Cities and Communities: Existing Communities,NSE,Natural Systems & Ecology,NSEc2,Natural Resources Conservation and Restoration,2,v4.1
Cities and Communities: Existing Communities,NSE,Natural Systems & Ecology,NSEc3,Light Pollution Reduction,1,v4.1
Cities and Communities: Existing Communities,NSE,Natural Systems & Ecology,NSEc4,Resilience Planning,4,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLp1,Transportation Performance (Prerequisite),6,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLc1,"Compact, Mixed Use and Transit Oriented Development",2,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLc2,Access to Quality Transit,1,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLc3,Alternative Fuel Vehicles,2,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLc4,Smart Mobility and Transportation Policy,2,v4.1
Cities and Communities: Existing Communities,TL,Transportation & Land Use,TLc5,High-Priority Site,2,v4.1
Cities and Communities: Existing Communities,WE,Water Efficiency,WEp1,Water Access and Quality (Prerequisite),0,v4.1
Cities and Communities: Existing Communities,WE,Water Efficiency,WEp2,Water Performance,6,v4.1
Cities and Communities: Existing Communities,WE,Water Efficiency,WEc1,Integrated Water Management,1,v4.1
Cities and Communities: Existing Communities,WE,Water Efficiency,WEc2,Stormwater Management,2,v4.1
Cities and Communities: Existing Communities,WE,Water Efficiency,WEc3,Smart Water Systems,2,v4.1
Cities and Communities: Existing Communities,EGGE,Energy and Greenhouse Gas Emissions,EGGEp1,"Power Access, Reliability and Resiliency (Prerequisite)",0,v4.1
Cities and Communities: Existing Communities,EGGE,Energy and Greenhouse Gas Emissions,EGGEp2,Energy and Greenhouse Gas Emissions Performance,18,v4.1
Cities and Communities: Existing Communities,EGGE,Energy and Greenhouse Gas Emissions,EGGEc1,Energy Efficiency,4,v4.1
Cities and Communities: Existing Communities,EGGE,Energy and Greenhouse Gas Emissions,EGGEc2,Renewable Energy,6,v4.1
Cities and Communities: Existing Communities,EGGE,Energy and Greenhouse Gas Emissions,EGGEc3,Grid Harmonization,2,v4.1
Cities and Communities: Existing Communities,MR,Materials and Resources,MRp1,Solid Waste Management (Prerequisite),0,v4.1
Cities and Communities: Existing Communities,MR,Materials and Resources,MRp2,Waste Performance,5,v4.1
Cities and Communities: Existing Communities,MR,Materials and Resources,MRc1,Special Waste Streams Management,1,v4.1
Cities and Communities: Existing Communities,MR,Materials and Resources,MRc2,Responsible Sourcing for Infrastructure,2,v4.1
Cities and Communities: Existing Communities,MR,Materials and Resources,MRc3,Smart Waste Management Systems,2,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLp1,Demographic Assessment (Prerequisite),0,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLp2,Quality of Life Performance,6,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc1,Trend Improvements,4,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc2,Distributional Equity,4,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc3,Environmental Justice,1,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc4,Housing and Transportation Affordability,2,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc5,Civic and Community Engagement,2,v4.1
Cities and Communities: Existing Communities,QL,Quality of Life,QLc6,Civil and Human Rights,1,v4.1
Cities and Communities: Existing Communities,I,Innovation,Ic1,Innovation,6,v4.1
Cities and Communities: Existing Communities,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Residential: Multifamily,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc1,LEED for Neighborhood Development Location,15,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc2,Sensitive Land Protection,2,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc3,High-Priority Site,1,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc4,Surrounding Density and Diverse Uses,5,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc5,Access to Quality Transit,3,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc6,Bicycle Facilities,1,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc7,Reduced Parking Footprint,1,v4.1
Residential: Multifamily,LT,Location and Transportation,LTc8,Electric Vehicles,2,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSp1,Construction Activity Pollution Prevention (Prerequisite),0,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc1,Site Assessment,1,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc2,Protect or Restore Habitat,1,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc3,Open Space,1,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc4,Rainwater Management,3,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc5,Heat Island Reduction,2,v4.1
Residential: Multifamily,SS,Sustainable Sites,SSc6,Light Pollution Reduction,1,v4.1
Residential: Multifamily,WE,Water Efficiency,WEp1,Water Use Reduction (Prerequisite),0,v4.1
Residential: Multifamily,WE,Water Efficiency,WEp1,Building-Level Water Metering (Prerequisite),0,v4.1
Residential: Multifamily,WE,Water Efficiency,WEc1,Water Use Reduction,10,v4.1
Residential: Multifamily,WE,Water Efficiency,WEc2,Water Metering,2,v4.1
Residential: Multifamily,EA,Energy and Atmosphere,EAp1,Fundamental Systems Testing and Verification (Prerequisite),0,v4.1
Residential: Multifamily,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
